date,game,market,pick,line,proj,edge,book,odds,stake,result,profit,injury_notes,home_ml_prob,away_ml_prob,home_ml_edge,away_ml_edge,ml_candidate,grade,edge_pct,council_recommendation,council_score,council_grade,publish,reason
2026-03-29,Los Angeles Clippers @ Milwaukee Bucks,SPREAD,Bucks +15.5,15.5,Milwaukee Bucks by 8.0,7.5,BetRivers,1.88,0.0,Win,0.0,,0.3614,0.6386,23.64,-27.05,,C,46.5,support,0.4653,PASS,false,NBA wager: Los Angeles Clippers @ Milwaukee Bucks — Bucks +15.5 — BetRivers
2026-03-29,Los Angeles Clippers @ Milwaukee Bucks,TOTAL,OVER 221.5,221.5,225.3,3.8,BetRivers,1.88,0.0,Win,0.0,,0.3614,0.6386,23.64,-27.05,,C,54.4,support,0.5444,PASS,false,NBA wager: Los Angeles Clippers @ Milwaukee Bucks — OVER 221.5 — BetRivers
2026-03-29,Miami Heat @ Indiana Pacers,TOTAL,UNDER 245.5,245.5,239.5,6.0,LowVig.ag,1.93,0.0,Loss,-0.0,,0.4317,0.5683,18.78,-21.3,,C,39.3,support,0.3934,PASS,false,NBA wager: Miami Heat @ Indiana Pacers — UNDER 245.5 — LowVig.ag
2026-03-29,Boston Celtics @ Charlotte Hornets,SPREAD,Celtics +1.0,1.0,Boston Celtics by 4.9,5.9,LowVig.ag,1.9,0.0,Win,0.0,,0.5046,0.4954,-0.05,-1.74,,C,35.1,support,0.3511,PASS,false,NBA wager: Boston Celtics @ Charlotte Hornets — Celtics +1.0 — LowVig.ag
2026-03-29,Boston Celtics @ Charlotte Hornets,TOTAL,UNDER 216.0,216.0,212.4,3.6,LowVig.ag,1.93,0.0,Win,0.0,,0.5046,0.4954,-0.05,-1.74,,C,32.3,support,0.3235,PASS,false,NBA wager: Boston Celtics @ Charlotte Hornets — UNDER 216.0 — LowVig.ag
2026-03-29,Sacramento Kings @ Brooklyn Nets,SPREAD,Nets +1.0,1.0,Brooklyn Nets by 2.6,3.6,FanDuel,1.89,0.0,Win,0.0,,0.8157,0.1843,31.57,-35.04,,C,35.1,support,0.3511,PASS,false,NBA wager: Sacramento Kings @ Brooklyn Nets — Nets +1.0 — FanDuel
2026-03-29,Sacramento Kings @ Brooklyn Nets,TOTAL,OVER 221.5,221.5,233.1,11.6,FanDuel,1.91,0.5,Loss,-0.5,,0.8157,0.1843,31.57,-35.04,,B,67.9,support,0.6786,B,true,NBA wager: Sacramento Kings @ Brooklyn Nets — OVER 221.5 — FanDuel
2026-03-29,Orlando Magic @ Toronto Raptors,TOTAL,OVER 225.5,225.5,231.2,5.7,FanDuel,1.91,0.0,Win,0.0,,0.7518,0.2482,19.0,-21.69,,C,58.8,support,0.5880,C,false,NBA wager: Orlando Magic @ Toronto Raptors — OVER 225.5 — FanDuel
2026-03-29,Washington Wizards @ Portland Trail Blazers,SPREAD,Wizards +16.5,16.5,Washington Wizards by 6.5,10.0,DraftKings,1.89,0.5,Loss,-0.5,,0.9122,0.0878,-1.37,-1.53,,B,71.4,support,0.7144,B,true,NBA wager: Washington Wizards @ Portland Trail Blazers — Wizards +16.5 — DraftKings
2026-03-29,Washington Wizards @ Portland Trail Blazers,TOTAL,OVER 238.0,238.0,246.0,8.0,DraftKings,1.91,1.0,Loss,-1.0,,0.9122,0.0878,-1.37,-1.53,,A,91.0,support,0.9103,A,true,NBA wager: Washington Wizards @ Portland Trail Blazers — OVER 238.0 — DraftKings
2026-03-29,Houston Rockets @ New Orleans Pelicans,SPREAD,Pelicans +6.0,6.0,New Orleans Pelicans by 6.5,12.5,Caesars,1.91,1.0,Loss,-1.0,,0.9124,0.0876,58.45,-59.26,,A,91.3,support,0.9125,A,true,NBA wager: Houston Rockets @ New Orleans Pelicans — Pelicans +6.0 — Caesars
2026-03-29,New York Knicks @ Oklahoma City Thunder,MONEYLINE,New York Knicks ML,,65.1% win prob,40.1,Fanatics,4.0,1.0,Loss,-1.0,,0.3488,0.6512,-42.64,40.12,New York Knicks ML,A,84.5,support,0.8452,A,true,NBA wager: New York Knicks @ Oklahoma City Thunder — New York Knicks ML — Fanatics
2026-03-29,New York Knicks @ Oklahoma City Thunder,SPREAD,Knicks +8.5,8.5,New York Knicks by 8.3,16.8,FanDuel,1.89,1.0,Loss,-1.0,,0.3488,0.6512,-42.64,40.12,New York Knicks ML,A,91.3,support,0.9125,A,true,NBA wager: New York Knicks @ Oklahoma City Thunder — Knicks +8.5 — FanDuel
2026-03-29,New York Knicks @ Oklahoma City Thunder,TOTAL,UNDER 223.5,223.5,219.0,4.5,FanDuel,1.91,0.0,Win,0.0,,0.3488,0.6512,-42.64,40.12,New York Knicks ML,C,58.8,support,0.5880,C,false,NBA wager: New York Knicks @ Oklahoma City Thunder — UNDER 223.5 — FanDuel
2026-03-29,Golden State Warriors @ Denver Nuggets,MONEYLINE,Denver Nuggets ML,,94.5% win prob,8.3,LowVig.ag,1.16,1.0,Win,0.16,,0.9447,0.0553,8.26,-11.14,Denver Nuggets ML,A,80.1,support,0.8009,A,true,NBA wager: Golden State Warriors @ Denver Nuggets — Denver Nuggets ML — LowVig.ag
2026-03-29,Golden State Warriors @ Denver Nuggets,SPREAD,Warriors +12.5,12.5,Golden State Warriors by 8.6,3.9,DraftKings,1.87,0.0,Loss,-0.0,,0.9447,0.0553,8.26,-11.14,Denver Nuggets ML,C,39.3,support,0.3934,PASS,false,NBA wager: Golden State Warriors @ Denver Nuggets — Warriors +12.5 — DraftKings
2026-03-29,Golden State Warriors @ Denver Nuggets,TOTAL,UNDER 239.0,239.0,234.6,4.4,DraftKings,1.91,0.0,Win,0.0,,0.9447,0.0553,8.26,-11.14,Denver Nuggets ML,C,58.8,support,0.5880,C,false,NBA wager: Golden State Warriors @ Denver Nuggets — UNDER 239.0 — DraftKings
